NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;Resultado
3615;36;1;47;4;6;1;2000000;0;4
1112;11;0;49;2;6;3;4000000;0;3
5050;50;1;44;2;6;1;100000;0;4
6566;65;0;52;2;8;3;600000;0;3
3677;36;0;34;2;8;1;2000000;0;4
5588;55;0;44;4;3;1;4000000;0;3
3622;36;0;32;4;5;1;2000000;0;4
1111;11;0;33;2;8;3;4000000;0;1
9025;90;0;45;4;8;3;4000000;0;3
1366;13;0;55;2;8;3;1100000;0;3
2727;27;0;78;2;8;3;4000000;0;3
1033;10;0;49;2;6;3;4000000;0;3
4333;43;0;52;2;8;9;4000000;1;3
6510;65;0;25;2;7;1;600000;0;3
3144;31;0;55;2;4;1;500000;0;4
4444;44;0;64;2;8;1;4000000;0;3
4545;45;0;51;2;8;3;4000000;0;1
6513;65;1;35;4;6;1;600000;0;3
1661;16;0;45;4;8;1;10000;0;4
1448;14;0;47;2;8;3;1000000;0;4
5005;50;0;38;4;6;1;100000;0;4
1616;16;0;23;4;6;1;10000;0;4
1748;17;0;43;4;6;1;300000;0;4
2777;27;0;41;2;4;3;4000000;0;3
1314;13;1;52;4;8;9;1100000;0;3
5012;50;0;40;4;5;3;100000;0;4
5044;50;0;44;2;8;1;100000;0;4
1717;17;0;56;2;8;3;300000;0;4
1211;12;0;46;4;6;1;4000000;0;3
5555;55;0;37;2;8;1;4000000;1;1
1922;19;0;39;2;3;3;500000;0;4
1010;10;0;53;2;7;3;4000000;0;3
1344;13;0;63;2;8;3;1100000;0;3
5177;51;0;23;4;8;1;4000000;0;3
1122;11;0;49;2;8;3;4000000;0;3
9000;90;0;42;4;6;3;4000000;0;3
2512;25;1;41;2;8;3;6000000;1;1
2323;23;0;58;2;8;3;2000000;0;4
7777;77;1;56;2;8;3;4000000;0;3
3666;36;0;66;2;8;1;2000000;0;4
5055;50;0;48;2;7;1;100000;0;4
1480;14;0;61;4;8;1;1000000;0;4
5023;50;0;52;2;8;9;100000;0;4
1355;13;1;49;2;7;3;1100000;0;3
1515;15;0;61;4;8;3;4000000;0;3
2828;28;0;45;2;7;9;2000000;0;4
