NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
17017;17;0;44;2;5;9;10000000;0;4
31555;31;0;46;4;6;1;500000;0;3
27777;27;0;33;2;4;3;25000;0;4
44124;44;0;43;2;6;1;700000;0;4
25110;25;0;63;2;8;3;700000;1;2
45455;45;1;50;2;6;1;150000;0;3
36878;36;0;32;2;3;3;30000;0;3
25616;25;0;55;2;8;3;700000;0;3
27840;27;0;35;2;5;1;100000;0;4
40222;40;0;64;2;5;3;500000;0;3
26100;26;0;71;2;4;3;10000;0;3
17123;17;0;72;2;3;9;10000000;0;4
13333;13;0;39;2;5;3;500000;0;3
70111;70;1;62;2;4;3;500000;0;3
43190;43;0;40;2;8;3;250000;0;3
40444;40;1;41;2;8;1;500000;1;3
11222;11;0;43;2;6;3;700000;0;3
65111;65;0;45;4;8;3;600000;0;3
50010;50;0;38;2;6;1;50000;0;4
13213;13;1;55;2;6;3;600000;0;3
11111;11;0;48;2;8;3;300000;0;3
44999;44;0;52;2;8;9;10000;0;3
27123;27;0;43;2;6;3;1400000;0;3
22333;22;1;45;2;6;3;1200000;0;3
12222;12;0;43;2;8;3;600000;0;3
33444;33;1;61;2;8;3;1500000;0;3
27333;27;0;32;4;5;9;1400000;0;3
31777;31;0;72;2;8;3;500000;0;3
40999;40;1;57;2;8;5;600000;0;3
22113;22;0;56;2;6;3;1200000;0;3
13666;13;1;54;2;8;1;600000;0;1
43003;43;0;22;4;5;3;1900000;0;3
17777;17;0;32;2;6;1;1500000;0;3
13000;13;0;64;2;8;3;600000;0;3
13719;13;1;49;4;7;1;600000;0;3
27231;27;0;49;2;5;3;1400000;0;3
27000;27;0;47;2;6;9;1400000;0;3
15888;15;0;50;2;6;3;1900000;0;3
33123;33;0;47;4;8;1;1500000;0;3
12120;12;0;74;2;8;3;600000;0;3
12012;12;1;61;2;8;3;600000;0;3
45678;45;0;45;2;6;3;1500000;0;3
27888;27;0;49;4;8;1;1400000;0;3
23555;23;0;29;4;6;1;600000;0;3
12123;12;0;78;2;4;3;600000;0;1
13800;13;0;35;4;7;3;600000;0;3
21123;21;0;40;2;3;1;50000;0;4
31987;31;0;28;4;6;1;500000;0;3
13313;13;1;55;4;6;3;600000;0;3
27777;27;1;41;2;6;1;1400000;0;3
15111;15;0;67;2;8;3;1900000;0;3
21111;21;0;39;4;4;3;50000;0;4
13111;13;1;48;4;6;1;600000;0;3
31117;31;0;32;4;3;3;500000;0;3
50150;50;0;58;2;8;3;50000;0;4
31444;31;1;56;2;4;3;500000;0;3
27223;27;0;38;2;6;1;1400000;0;3
40444;40;1;45;2;8;1;600000;0;3
45555;45;0;36;2;8;3;1500000;0;1
31456;31;0;42;2;6;1;500000;0;3
50123;50;0;48;2;4;1;50000;0;4
12121;12;1;41;2;8;9;600000;0;3
31222;31;0;68;2;5;3;500000;0;3
13123;13;0;39;2;8;3;600000;0;3
25221;25;0;66;2;8;3;1500000;0;3
31112;31;0;60;4;4;3;500000;0;3
36444;36;0;40;2;7;3;240000;0;4
27770;27;0;62;4;8;5;1400000;0;3
27222;27;0;34;2;5;1;1400000;0;3
50111;50;0;35;2;7;1;50000;0;4
10987;10;0;53;2;8;3;1400000;0;3
12333;12;1;48;2;6;3;600000;0;3
22444;22;0;51;2;6;3;1200000;0;3
25112;25;0;54;2;6;3;1500000;0;3
40333;40;0;44;2;7;3;600000;0;3
33133;33;1;48;2;8;3;1500000;0;1
45444;45;0;35;2;8;1;1500000;0;3
25111;25;0;61;2;8;3;1500000;0;1
13222;13;0;25;2;6;1;600000;0;3
31333;31;0;44;2;8;3;500000;0;3
43607;43;1;57;2;6;3;1900000;0;3
15123;15;0;33;2;8;1;1900000;0;1
15100;15;0;48;2;8;9;1900000;0;1
14567;14;0;43;2;7;3;600000;0;1
25616;25;0;59;2;8;3;1500000;0;3
45000;45;1;41;2;6;9;1500000;0;3
13334;13;0;52;4;8;1;600000;0;3
40222;40;1;56;2;8;3;600000;0;3
15141;15;0;75;2;8;3;1900000;0;2
13644;13;0;61;4;8;1;600000;0;3
36123;36;0;71;2;3;5;240000;0;4
15678;15;0;30;2;8;3;1900000;0;1
12444;12;0;47;2;6;1;600000;0;3
22666;22;0;32;2;8;1;1200000;0;1
31111;31;0;39;2;8;3;500000;0;1
45789;45;0;59;2;8;3;1500000;0;3
13555;13;0;61;2;6;3;600000;0;3
65555;65;0;50;2;8;3;600000;0;3
40888;40;0;47;2;8;3;600000;0;1
36193;36;0;43;2;6;1;240000;0;4
11333;11;0;25;2;7;1;300000;0;3
40190;40;0;38;2;8;9;600000;0;3
40777;40;0;64;4;6;5;600000;0;3
40000;40;0;36;4;8;9;600000;0;1
65444;65;0;38;2;8;1;600000;0;3
23333;23;0;64;2;8;3;600000;0;3
31999;31;0;42;2;6;1;500000;0;3
22000;22;0;56;2;5;3;1200000;0;3
33456;33;0;59;2;8;3;1500000;0;3
40133;40;0;45;2;6;3;600000;0;3
15000;15;0;48;2;8;3;1900000;0;1
22456;22;0;38;2;8;1;1200000;0;3
